FSN,Category,Brand,Model Name,Specification Key,Specification Value,Highlight Bullet,Primary Image Path,Angle Image Path 1,Angle Image Path 2,Creative Video Cue
MOBHH69N2XATECZZ,Mobile Phone,TechCorp,Lumina X1,Display,"6.76 inch 120Hz OLED",50MP AI Triple Camera,images/mobile_phone.jpg,images/mobile_phone_back.jpg,images/mobile_phone_side.jpg,"Dynamic 360 camera sweep focusing on sleek side profile and rear camera module."
TABHH78N3YBTEDYA,Tablet,TechCorp,TabPro 12,Processor,"M-Series Octa-Core",12.9 inch Retina Display,images/tablet.jpg,images/tablet_side.jpg,images/tablet_back.jpg,"Overhead view showing stylus drafting on ultra-slim tablet chassis."
MTHH89N4ZCTEEZB,Motorcycle,Velocity,StreetFighter 800,Engine,"800cc Twin Cylinder",Dual-Channel ABS Brakes,images/motorcycle.jpg,images/motorcycle_front.jpg,images/motorcycle_back.jpg,"Cinematic low-angle dolly shot emphasizing twin engine block and LED headlamps."
TVHH90N5ADTEFAC,Television,VisionCo,Ultra 65,Screen,"65 inch 4K UHD",Dolby Vision & Atmos,images/television.jpg,images/television_side.jpg,images/television_back.jpg,"Frontal zoom highlighting bezel-less 4K screen with immersive ambient lighting."
MWHH01N6BETEFBD,Microwave,HomeTech,ChefWave 800,Power,"800W Convection",Digital Touch Control,images/microwave.jpg,images/microwave_open.jpg,images/microwave_angled.jpg,"Smooth pan showing open convection cavity and stainless mirror door."
ACHH12N7CFTEDCE,Air Conditioner,CoolBreeze,Arctic 1.5,Capacity,"1.5 Ton 5-Star",Inverter Smart Wi-Fi,images/air_conditioner.jpg,images/air_conditioner_side.jpg,images/air_conditioner_remote.jpg,"Clean horizontal tracking shot highlighting modern white louver airflow."
RFHH23N8DFTEEDF,Refrigerator,FrostLine,Double Door 400L,Capacity,"400 Liter Frost Free",Energy Saver Inverter,images/refrigerator.jpg,images/refrigerator_open.jpg,images/refrigerator_side.jpg,"Smooth door swing opening to showcase organized multi-tier cooling sections."
TYHH34N9EFTEDFE,Tyre,GripMaster,AllSeason Pro,Rim Size,"17-inch Radial",Puncture Guard Tread,images/tyre.jpg,images/tyre_tread.jpg,images/tyre_angled.jpg,"Close-up rotational tracking focusing on aggressive deep-groove tread pattern."
WMHH45N0FGTEDGF,Washing Machine,AquaWash,FrontLoad 8kg,Capacity,"8kg Front Load",Steam Hygiene Cycle,images/washing_machine.jpg,images/washing_machine_open.jpg,images/washing_machine_angled.jpg,"Frontal angle shot highlighting chrome door rim and digital touch control dial."
SPHH56N1GHTEDHG,Speaker System,SoundWave,Boom 360,Audio Output,"360-Degree Spatial",24-Hour Battery Life,images/speaker_system.jpg,images/speaker_system_top.jpg,images/speaker_system_back.jpg,"Top-down rotation shot showcasing ambient light ring and touch control buttons."
BLHH67N2HJTEDIH,Blender,HomeTech,GlassBlend 500,Motor,"500W High Torque",Heavy Glass Pitcher,images/blender_front.jpg,images/blender_side.jpg,images/blender_top.jpg,"Frontal tilt shot from stainless base up to crystal clear glass jar."
EMHH78N3KKTEDJI,Espresso Machine,BrewMaster,ProBarista X,Pressure,"15 Bar Italian Pump",Built-in Milk Frother,images/espresso_machine_front.jpg,images/espresso_machine_side.jpg,images/espresso_machine_angled.jpg,"Macro camera push focusing on portafilter spout and metallic pressure gauge."
LPHH89N4LKTEDKJ,Laptop,TechCorp,UltraBook Pro,Display,"14 inch 4K OLED",16GB RAM + 1TB SSD,images/laptop_front_open.jpg,images/laptop_closed_top.jpg,images/laptop_side_ports.jpg,"Side sweep showing ultra-thin chassis profile and full array of ports."
CFHH90N5MKTEDLK,Ceiling Fan,AirFlow,Breeze 48,Blade Sweep,"48 inch AeroBlade",Integrated LED Kit,images/ceiling_fan_bottom.jpg,images/ceiling_fan_side.jpg,images/ceiling_fan_angled.jpg,"Upward angled shot emphasizing aerodynamic blade pitch and center LED globe."
SWHH01N6NKTEDML,Smartwatch,TechCorp,WatchActive 2,Sensor,"Heart Rate & SpO2",5ATM Water Resistant,images/smartwatch_front.jpg,images/smartwatch_side.jpg,images/smartwatch_back.jpg,"Close-up wrist strap rotation showing curved AMOLED display and optical sensor."
